,pl_name,pl_orbper_yrs,st_mass_x,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_bmasse,pl_bmassj,st_teff,st_rad,ra,dec,sy_dist,spec_type,st_rad_m,st_lum,st_lum_sol,r_0,r_1,hab_zone
2291,Kepler-1645 b,0.04429302307095597,1.0466666666666666,1,1,16.17802667666667,0.1285,,,5840.714285714285,1.2442857142857142,297.4795142,48.41858200000001,1202.47,G,865649571.4285713,6.213977632289384e+26,1.6232961421863594,1.750092257506896,1.214793713197415,0
2292,Kepler-1646 b,0.01228085690349076,0.262,1,1,4.485582984,0.029699999999999997,,,3295.1666666666665,0.2933333333333334,287.52648589999995,42.912935600000004,127.59100000000001,M,204072000.00000003,3.4986297527852166e+24,0.009139576156701192,0.1313182520235879,0.09115210144040062,0
2293,Kepler-1647 b,3.0324224503764547,1.22,2,1,1107.5923,2.7205,483.0,1.51968,6210.0,1.79,298.150057,40.6561751,1212.45,F,1245303000.0,1.6433802752465987e+27,4.293051920706893,2.8460671045493484,1.9755440955265722,1
2294,Kepler-1649 b,0.023789431054072552,0.1925,1,2,8.6890896925,0.04493333333333333,,,3056.125,0.22499999999999998,292.5029676,41.829993300000005,92.19129999999998,M,156532499.99999997,1.523053285372539e+24,0.00397871809135982,0.08664303357291134,0.060141636548158094,0
2295,Kepler-1649 c,0.05348462715035364,0.16666666666666666,1,2,19.535260066666666,0.0649,,,3070.6666666666665,0.19333333333333333,292.50296760000003,41.8299933,92.1913,M,134502000.0,1.1460664082483339e+24,0.0029939038877960654,0.07515899986024678,0.05217020995824467,1
2296,Kepler-165 b,0.022398013869952087,0.8055555555555556,1,2,8.180874566,0.07253333333333332,,,5165.909090909091,0.7554545454545454,280.69092,47.80967020000002,560.8850000000001,K,525569727.2727272,1.4017459873866666e+26,0.3661823373528387,0.8312100038360066,0.5769688327432654,0
2297,Kepler-165 c,0.04192462729637234,0.8055555555555556,1,2,15.31297012,0.11048333333333334,,,5165.909090909091,0.7554545454545454,280.69092,47.80967020000002,560.8850000000001,K,525569727.2727272,1.4017459873866666e+26,0.3661823373528387,0.8312100038360066,0.5769688327432654,0
2298,Kepler-1650 b,0.004211303528405202,0.31250000000000006,1,1,1.53817861375,0.017319999999999995,,,3394.777777777778,0.33,297.7292296,42.86669189999999,134.39700000000002,M,229581000.0,4.9881429341988e+24,0.013030676421626959,0.15679981482003744,0.10883965028520776,0
2299,Kepler-1651 b,0.027056261765913758,0.3871428571428572,2,1,9.88229961,0.06178,,,3565.1814285714286,0.3728571428571429,283.62826020000006,48.39080810000001,66.4074,M,259396714.2857143,7.745992716466209e+24,0.020235090690873064,0.19539553832642573,0.13563014779798327,0
2300,Kepler-1652 b,0.10430457786447637,0.405,1,1,38.097247065,0.16381666666666664,,,3587.1666666666665,0.38833333333333336,294.36603130000003,49.9150219,,M,270163500.0,8.611546873847815e+24,0.022496203954670363,0.20602346429230017,0.14300732325390117,1
